Feature ID	Taxon	Consensus
0038d3c9b9aaf6e4c50e8e036d10c798	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae	1.0
0038f2eedf8cc7893a7a9a4330aa477c	Unassigned	1.0
003a06858930eb239f0421b1b75d2540	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Sva1033; f__Sva1033; g__Sva1033	0.7
003aacfdb542debb7adcd96e3e682a43	Unassigned	1.0
003ba56d29607b45d8599085b8b69afa	Unassigned	1.0
003d638757cf1c86cc9783ce1f44fa2a	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Diversisporales; f__Diversisporaceae; g__Diversispora; s__Diversispora_epigaea	1.0
003e7c53d7d5727699b55a6a508873dc	Unassigned	1.0
003f98b1b3b528bd2d41e445f9bfe0e5	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Spirotrichea; g__Protocruzia	1.0
00404474b60c6550c40ac2b5943d722d	d__Eukaryota; p__Annelida; c__Polychaeta; o__Capitellida; f__Capitellida; g__Capitellida	1.0
0040da651fbc266cfacb4970f246a897	d__Eukaryota; p__Arthropoda; c__Maxillopoda; o__Calanoida; f__Calanoida; g__Calanoida; s__uncultured_eukaryote	0.8
004163179eaf9db29b464656ee3174f2	Unassigned	1.0
004257197331eeedd52f59ae2a280da3	Unassigned	1.0
00439d36472c97159611cdc599bfc500	Unassigned	1.0
0043a0809a1fc8e037a1c6d17625f717	Unassigned	1.0
0043e83c86c29af0bfd6f60aa7147a2d	d__Eukaryota; p__Nemertea; c__Anopla; o__Heteronemertea; f__Heteronemertea; g__Heteronemertea	1.0
00442e0140ed1ebc736166f79aea453b	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Peridiniales; f__Peridiniales; g__Heterocapsa; s__uncultured_marine	0.667
00446ace0db029ea3394c10d2b328831	d__Eukaryota; p__Protalveolata; c__Perkinsidae; o__A31; f__A31; g__A31; s__uncultured_freshwater	1.0
004535389c648eb433f5bfcde0277278	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Incertae_Sedis	1.0
0045e4711c2e9788a018505b21d63c8d	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__uncultured; s__metagenome	0.6
004610d70fb6092436394ca4b09bf6fb	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya	1.0
004611f4592c4b373492fe5efd7a8c88	Unassigned	1.0
0047e3a5c5c910c7a602e35cc920428c	Unassigned	1.0
0049b2c4da0fd3e0a786a9423caaa4a7	Unassigned	1.0
0049ea17a60f7070ff42afe82d95208d	Unassigned	1.0
004aa466a222b0b45aa9fc282ea1ee11	Unassigned	1.0
004af7f8f83f24fb7b51d8335583e14a	Unassigned	1.0
004bcf76a2c5f33a3d4947c739f31b2a	d__Eukaryota; p__Arthropoda; c__Ellipura; o__Collembola; f__Collembola; g__Collembola	1.0
004cc68c6803c171fcf5e122d4efb162	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured	0.9
004cda7653c596d339ea91d23c5059aa	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae	0.6
004d538da77cb184ab737adedfef2ba9	d__Eukaryota; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes	1.0
004d5635390a230307695fd393e25df7	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter; s__uncultured_bacterium	0.8
004ec821a15ca3f2ab376a9a96f5487b	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.556
004f3403ed8991394a147e8ac3d8ed52	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium	0.9
00517dc599da14bbafc8d0b8391f9359	d__Eukaryota; p__Mollusca; c__Bivalvia; o__Mytiloida; f__Mytiloida; g__Mytiloida	0.8
0051d84d16f253de6033359e4096bc27	Unassigned	1.0
0052b11e5513b77c73e5d51dc871baf2	Unassigned	1.0
0052d0f7d8b82212028b8fe619202d12	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peregrinibacteria; f__Candidatus_Peregrinibacteria; g__Candidatus_Peregrinibacteria; s__uncultured_bacterium	0.7
0053e6c344b68abd44023636e5801108	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae	0.6
0053fa60aebebf5f5e6008c70425230c	d__Eukaryota; p__Arthropoda; c__Maxillopoda	1.0
00541aa161273e5bf09ceb77e9d31dd8	Unassigned	1.0
005422d292b2b94dc2b27f2d2a315d63	Unassigned	1.0
0055305d4b554a833e8d2b644e2cb28b	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Powellomycetaceae; g__Geranomyces	0.625
00556166c0598d5ae3164285a7630ed3	Unassigned	1.0
005562523f2aa79840cf3a275b782ea8	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__Oligoflexales; f__uncultured; g__uncultured	0.9
005652c15cbbb25f1813830c796ca933	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae	0.7
005801f9f9b58b301402da0c6ad9cc08	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__OLI16029	0.8
0058084e0879e6dca1f71cf4e50ca487	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae	1.0
00584b48f326265f11568c26e2451f3b	Unassigned	1.0
0059f37cc963a7d730e928d037d9e449	Unassigned	1.0
005a876bf83d8ca2878fb730bb7434f3	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	1.0
005aeb71884078a16a300ef57b97b7cb	d__Eukaryota; p__Centrohelida; c__Centrohelida; o__Centrohelida; f__Acanthocystidae; g__Pterocystis	0.6
005b222a3a047cce6626716474f18f46	d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Babeliaceae; g__Babeliaceae	0.667
005ee6151e853ed4c2b0fe5d44ec8dd9	d__Eukaryota; p__Cercozoa; c__Imbricatea; o__Spongomonadida; f__Spongomonadida; g__Spongomonas; s__metagenome	1.0
005f00871afdeff4211b3810b25f577d	Unassigned	1.0
005f1b13e77a09db2da648f4ff0ed255	Unassigned	1.0
0060057999aaa916e86fd6d0312d2b8c	Unassigned	1.0
0061288e8817d087534a3c62490b2c97	Unassigned	1.0
0062f43f2d5344ea5f868962e139c208	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium	0.667
